Date	Location	QID
August 1, 2016	Marie Selby Botanical Gardens in Sarasota, Florida	Q6763018
August 1, 2016	United States Botanic Gardens in Washington, DC	Q1848855
August 6, 2016	Denver Botanic Gardens, Denver, Colorado, US	Q3003810
August 28, 2016	Olbrich Botanical Gardens, Madison, Wisconsin	Q9010914
September 9, 2016	University of Wisconsin–River Falls	Q2687532
September 22, 2016	North Carolina State University	Q1132346
September 23, 2016	Dartmouth College in Hanover, NH	Q49116
December 28, 2016	Collectors Corner Garden World in Braeside, Victoria, Australia 	Q4955340
January 3, 2017	Adelaide Botanic Garden	Q4681683
April 11, 2017	Botanical Garden Meise	Q3052500
April 20, 2017	McMaster University, Hamilton Ontario, Canada 	Q632891
April 29, 2017	Muttart Conservatory, Edmonton Alberta, Canada 	Q6944087
May 15, 2017	Fullerton Arboretum, Fullerton, California	Q5508289
May 28, 2017	Lauritzen Gardens, Omaha, Nebraska	Q536819
May 30, 2017	Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences, Xishuangbanna, China	Q8044781
May 30, 2017	Chicago Botanic Garden	Q2919730
June 1, 2017	Chicago Botanic Garden	Q2919730
June 15, 2017	Conservatory of Flowers	Q5163145
June 26, 2017	Cambridge University Botanic Garden, University of Cambridge	Q894665
June 27, 2017	Kansas State University	Q31249
June 29, 2017	Orange Coast College	Q7099536
July 2, 2017	Berlin-Dahlem Botanical Garden and Botanical Museum	Q163255
July 3, 2017	Rumah Perubahan, Bekasi, West Java	Q10392
July 10, 2017	Missouri Botanical Garden	Q1852803
July 26, 2017	Greater Des Moines Botanical Garden	Q54833435
August 1, 2017	Royal Botanic Garden Edinburgh	Q1807521
August 7, 2017	Cornell University, Ithaca, NY	Q49115
August 19, 2017	United States Botanic Garden	Q1848855
August 20, 2017	Chicago Botanic Garden	Q2919730
August 21, 2017	United States Botanic Garden	Q1848855
August 28, 2017	United States Botanic Garden	Q1848855
September 18, 2017	San Diego Botanic Garden	Q7413603
October 25, 2017	University of California Botanical Garden, Berkeley, CA	Q5796845
January 29, 2018	Cairns Botanic Gardens, Cairns, Australia	Q5926479
February 3, 2018	Dunedin Botanic Gardens, Dunedin, New Zealand	Q5314964
April 23, 2018	Tucson Botanical Gardens	Q7851146
June 14, 2018	Olbrich Botanical Gardens, Madison, Wisconsin	Q9010914
June 16, 2018	University of Mississippi, School of Pharmacy 	Q1138384
July 2, 2018	Eastern Illinois University, Charleston, IL	Q624985
July 6, 2018	Plant Delights Nursery/Juniper Level Botanic Garden, Raleigh, NC	Q41087
July 12, 2018	Frederik Meijer Gardens & Sculpture Park, Grand Rapids, MI 	Q2483537
July 15, 2018	Bloedel Conservatory, Vancouver, British Columbia, Canada	Q4927320
August, 2018	Huntington Library, San Marino, California	Q1400558
October 8, 2018	California State University, Sacramento, Sacramento, California	Q1026941
May 25, 2019	Chicago Botanic Garden, Glencoe, Illinois	Q2919730
June 2, 2019	California State University, Long Beach, Long Beach, California	Q1026926
June 19, 2019	Paris Lodron Universität Salzburg, NAWI, Salzburg, Austria	Q27265
July 3, 2019	UMASS, Amherst, Amherst, Massachusetts	Q15142
July 9, 2019	California State University, Long Beach, Long Beach, CA	Q1026926
