Item Name,Unique ID,Urban Place Name,Pop 1990,Pop 1980,Pop 1970,Pop 1960,Pop 1950,Pop 1940,Pop 1930,Pop 1921,Longitude,Latitude,Elevation,Atlas Page,Capital,,Additional Notes: 
Key,From Right to Left:,,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,To 1/10th of a Min.,To 1/10th of a Min.,In Meters;,From Carta,E = State Capital,,* Missing coordinates were not available
,1st. three digits = Municipality ID,,,,,,,,,,"(e.g., 09020.20 =","(e.g., 2220.20 =",at 10 meter,De Mexico,M = Municipal Capital,,* Urban ID conforms to INEGI system
,Following digits = State ID,,,,,,,,,,90 degrees,22 degrees,intervals,"INEGI, 1982",,,
,,,,,,,,,,,20 minutes,20 minutes,,,,,
,,,,,,,,,,,2/10 minute),2/10 minute),,,,,
,7059,Ocosingo,12.826,6.8,2.9,1.5,1.3,1,0.8,0.1,-09205.60,1654.40,900,E15-11,M
,7061,Ocozocoautla de Espinoza,20.563,11,8.7,6.5,5,4.5,3.9,4.2,-09322.60,1645.60,850,E15-11,M
,7065,Palenque,17.061,5.3,2.6,1.6,1,0.7,0.5,0.2,-09159.00,1730.60,70,E15-09,M
,7068,Pichucalco,10.609,5.1,4.6,3,2.9,2,1.2,1.5,-09307.00,1730.50,200,E15-08,M
,7069,Pijijiapan,12.103,7.2,5.1,4.1,3.3,2.1,1.8,1.7,-09312.50,1541.00,80,D15-02,M
,7075,Rosas_ Las,12.193,10,7.7,7.8,6.3,5.7,5.2,4.1,-09221.90,1621.90,1380,E15-11,M
,7078,San Cristobal de las Casas,73.388,42,25.7,23.3,17.5,11.8,16.7,13.3,-09238.00,1644.20,2230,E15-11,M
,7079,San Fernando,6.787,6.9,3.7,3.7,3.2,2.8,2.5,2.8,-09312.40,1652.30,900,E15-11,M
,7086,Suchiapa,9.27,5,4.1,3.4,2.7,1.4,1.1,0.6,-09306.00,1637.50,450,E15-11,M
,7087,Ciudad Hidalgo,9.893,5.6,4.1,3.4,2.7,2.5,2.1,1.8,-09209.10,1440.60,25,D15-05,M
,7089,Tapachula,138.858,85.8,60.5,41.6,30,15.2,13.8,9.8,-09215.80,1454.40,200,D15-05,M
,7092,Tecpatan,3.163,5.5,1.2,1.9,1.6,1.4,1,0.6,-09318.60,1708.20,400,E15-08,M
,7094,Teopisca,8.482,5.2,4,3.6,3.2,2,1.6,1.2,-09228.50,1632.40,1850,E15-11,M
,7097,Tonala,26.919,19,15.6,13.2,10.5,9.3,8.7,8.4,-09345.40,1605.10,80,E15-11,M
,7101,Tuxtla Gutierrez,289.626,131.1,66.6,41.2,28.22,15.9,14.8,12.5,-09307.00,1645.10,550,E15-11,E
,7101,Teran,n/d,8.5,5.2,3.3,2.3,1.7,1.6,1.1,-09309.80,1645.20,550,E15-11, 
,7106,Venustiano Carranza,11.553,8.5,23.6,10.7,5.4,4,3.4,3.7,-09233.60,1620.40,800,E15-11,M
,7107,Villa Corzo,6.684,6.2,2.3,2,1.5,0.9,0.8,1,-09316.00,1611.10,580,E15-11,M
,7108,Villaflores,24.67,20.3,9.7,7.2,5.3,3.3,2.4,1.9,-09316.10,1614.00,550,E15-11,M
,8001,Ahumada,7.241,7.6,6.5,4.9,2.5,1.8,1.3,2,-10630.60,3037.00,1200, H13-04,1 
,8002,Aldama,12.191,8.5,6,5.3,3.4,2.8,2.4,2.7,-10554.60,2850.20,1240, H13-11,M
,8005,Ascension,8.966,5.7,4.1,2.8,1.6,1.1,1.2,1.1,-10759.60,3105.60,1300, H13-01,M
,8011,Camargo,33.582,29.4,24,19,11.9,7.7,7.6,8.5,-10510.50,2741.40,1230, G13-02,
,8011,La Perla,3.361,5.4,3.1,0.7,0.2,0.1,0.1,0.1,-10432.70,2818.40,1580, H13-11,
,8017,Cuauhtemoc,69.589,43.5,26.6,14.7,6.4,2.9,2.1,0.3,-10652.00,2824.40,2040, H13-10,
,8017,Anahuac,10.634,12.2,10.9,6.2,1.4,1.1,n/d,n/d,-10644.50,2828.90,2000, H13-10,
,8019,Chihuahua ,516.2,385.6,257,150.4,87,56.8,45.6,37.1,-10604.10,2837.70,1440, H13-10,
,8021,Delicias,87.412,65.5,52.4,39.9,18.3,6,0.4,0.6,-10528.20,2811.50,1170, H13-11,
,8027,Guachochi,8.052,6,2.6,2.6,0.6,0.5,0.4,0.2,-10704.10,2649.20,2400, G13-04
,8031,Adolfo Lopez Mateos,8.243,7.7,6.1,3.2,2.1,0.9,0.7,0.3,-10719.80,2828.70,2050, H13-10
